task_id,dataset_name,target_name,n_samples,n_features,missing_data,categorical_features,fold_id,regressor_name,time_on_fold,R2,MSE,RMSE
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,2.0,PySRRegressor_default,138.7325837612152,-2.5624090744208705,4609.551105925088,67.89367500677135
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,2.0,PySRRegressor_validation,138.7325837612152,-2.4915332553877687,4517.841899266812,67.21489343342598
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,3.0,PySRRegressor_default,136.95539808273315,0.8184694726253992,236.2847281406405,15.371555813925944
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,3.0,PySRRegressor_validation,136.95539808273315,0.8229416722871598,230.46359988991287,15.18102762957478
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,4.0,PySRRegressor_default,133.8323712348938,0.5592339466730469,509.5306109291806,22.57278474023931
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,4.0,PySRRegressor_validation,133.8323712348938,0.5592339466730469,509.5306109291806,22.57278474023931
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,5.0,PySRRegressor_default,133.9073932170868,0.79890444088896,593.7760631236209,24.367520660166083
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,5.0,PySRRegressor_validation,133.9073932170868,0.801441675579553,586.2843550398577,24.213309460704824
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,6.0,PySRRegressor_default,129.87512230873108,0.9053303012152194,221.2771668652593,14.875387956798278
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,6.0,PySRRegressor_validation,129.87512230873108,0.8841419746547985,270.8019137704391,16.456060092574987
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,7.0,PySRRegressor_default,130.45702576637268,0.8539763777059477,394.36017080107325,19.85850374023867
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,7.0,PySRRegressor_validation,130.45702576637268,0.8811130925522189,321.07312769372373,17.9185135458755
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,8.0,PySRRegressor_default,136.73753786087036,0.72462206748544,423.6850583141957,20.58361140116563
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,8.0,PySRRegressor_validation,136.73753786087036,0.72462206748544,423.6850583141957,20.58361140116563
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,9.0,PySRRegressor_default,135.17273020744324,0.617403509099318,682.275163051238,26.12039745201512
361264.0,socmob,counts_for_sons_current_occupation,"1,156",5,0,4.0,9.0,PySRRegressor_validation,135.17273020744324,0.7230316851174441,493.9109654447318,22.22410775362493
361616.0,Moneyball,RS,"1,232",10,"3,600",4.0,0.0,PySRRegressor_default,134.82179927825928,0.9392159828522278,501.89911659590535,22.403105065948008
